"","GSM1324450","GSM1324451","GSM1324452","GSM1324453"
"16391",14018.1,15842.2,14521.4,15842.2
"8295",13289.1,14658.8,15384.3,15384.3
"1",14895.1,13962,12753.1,15057.2
"261",14521.4,15384.3,13212.1,13712.3
"32954",14258.5,14258.5,14387.2,14895.1
"33744",12391.5,12791.4,14658.8,14521.4
"31066",11463,13863.5,14086.6,14658.8
"28601",12430,14387.2,13289.1,13456.4
"32997",12317.3,12707.7,12455.8,12391.5
"19704",12825.8,14018.1,13348.7,12973.8
"29595",12680.6,12973.8,13456.4,13423.4
"19936",12054,12945.7,13962,12317.3
"2930",15842.2,13527.9,13146.3,12853.3
"33643",13423.4,10497.4,12973.8,14018.1
"7297",13712.3,12680.6,13021.9,11816
"16476",12905.3,13784.3,12121,12636.9
"29664",12165.2,13396.4,13423.4,12430
"29601",12091,13099.2,12546.9,13062.7
"28042",14086.6,13212.1,12019.2,12263.6
"180",10842.4,12825.8,13099.2,12945.7
"31960",10805,11463,11983.3,13962
"2766",12636.9,12636.9,12500.4,10905.6
"28226",12753.1,12368.3,13062.7,13021.9
"30522",11875,12317.3,12229.4,11983.3
"7596",12500.4,12391.5,12430,12587.4
"14451",13396.4,11875,11875,11790.1
"2071",11445.5,12587.4,11790.1,12680.6
"29421",11940.2,10725.8,10383.3,13289.1
"2089",12194.4,9492.4,12343,12753.1
"31568",10650.9,11036.4,10885.3,12455.8
"30099",12368.3,12546.9,11106.5,12707.7
"29259",13021.9,12905.3,12707.7,11463
"29388",10601.9,12229.4,11563.2,11685.6
"30133",11128.4,13062.7,12636.9,11445.5
"33415",12791.4,10407.9,11940.2,11422.1
"29364",11532.5,12165.2,11914.3,12500.4
"30391",12019.2,11422.1,11846.1,12546.9
"6998",12587.4,11750.6,11589.1,10383.3
"33379",12853.3,9721.4,11174.4,12194.4
"28609",7333.8,8621.8,9995.3,13527.9
"6313",12455.8,12455.8,11750.6,11589.1
"14058",10470.7,12019.2,12054,12229.4
"30132",11914.3,11258.8,11532.5,11651.8
"29265",9756.9,11914.3,11685.6,11069.8
"7194",13962,11532.5,12091,9161.1
"29418",12263.6,12753.1,12194.4,11563.2
"6427",13146.3,10918.3,12263.6,11495.8
"33449",12973.8,11713.3,10761.9,12791.4
"31849",11685.6,10320,11463,11750.6
